idstatefrom,idaction,idstateto,probability,reward
0,0,0,1,5
1,0,0,1,5
2,0,1,1,5
3,0,2,1,5
4,0,3,1,5
5,0,4,1,5
6,0,5,1,5
7,0,6,1,5
8,0,7,1,5
9,0,8,1,5
10,0,9,1,5
11,0,10,1,5
12,0,11,1,5
13,0,12,1,5
14,0,13,1,5
15,0,14,1,5
16,0,15,1,5
17,0,16,1,5
18,0,17,1,5
19,0,18,1,5
0,1,0,0.2,0
1,1,0,0.2,0
2,1,1,0.2,0
3,1,2,0.2,0
4,1,3,0.2,0
5,1,4,0.2,0
6,1,5,0.2,0
7,1,6,0.2,0
8,1,7,0.2,0
9,1,8,0.2,0
10,1,9,0.2,0
11,1,10,0.2,0
12,1,11,0.2,0
13,1,12,0.2,0
14,1,13,0.2,0
15,1,14,0.2,0
16,1,15,0.2,0
17,1,16,0.2,0
18,1,17,0.2,0
19,1,18,0.2,0
0,1,0,0.3,0
1,1,1,0.3,0
2,1,2,0.3,0
3,1,3,0.3,0
4,1,4,0.3,0
5,1,5,0.3,0
6,1,6,0.3,0
7,1,7,0.3,0
8,1,8,0.3,0
9,1,9,0.3,0
10,1,10,0.3,0
11,1,11,0.3,0
12,1,12,0.3,0
13,1,13,0.3,0
14,1,14,0.3,0
15,1,15,0.3,0
16,1,16,0.3,0
17,1,17,0.3,0
18,1,18,0.3,0
19,1,19,0.3,100
0,1,1,0.5,0
1,1,2,0.5,0
2,1,3,0.5,0
3,1,4,0.5,0
4,1,5,0.5,0
5,1,6,0.5,0
6,1,7,0.5,0
7,1,8,0.5,0
8,1,9,0.5,0
9,1,10,0.5,0
10,1,11,0.5,0
11,1,12,0.5,0
12,1,13,0.5,0
13,1,14,0.5,0
14,1,15,0.5,0
15,1,16,0.5,0
16,1,17,0.5,0
17,1,18,0.5,0
18,1,19,0.5,0
19,1,19,0.5,100
